schema_version,experiment_id,scenario_label,attack_source_host,notes,window_start,window_end,dpid,port,interval_seconds,rx_packets_delta,tx_packets_delta,rx_bytes_delta,tx_bytes_delta,rx_pps,tx_pps,rx_bytes_per_sec,tx_bytes_per_sec,last_protocol,last_dst_port,last_source_ip
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,4,1.1605451107025146,14,14,1150,2576,12.063296696433762,12.063296696433762,990.913657207059,2219.646592143812,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,1,1.1605451107025146,2,2,120,120,1.7233280994905376,1.7233280994905376,103.39968596943226,103.39968596943226,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,5,1.1605451107025146,12,16,2456,1270,10.339968596943224,13.7866247959243,2116.24690617438,1094.3133431764913,1,0,10.0.0.100
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,2,1.1605451107025146,3,3,180,180,2.584992149235806,2.584992149235806,155.09952895414838,155.09952895414838,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2633739,1788717554.423919,1,3,1.1605451107025146,2,2,120,120,1.7233280994905376,1.7233280994905376,103.39968596943226,103.39968596943226,1,0,10.0.0.4
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2486835,1788717554.445367,3,4294967294,1.196683645248413,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2486835,1788717554.445367,3,4,1.196683645248413,0,3,0,180,0.0,2.5069282194269866,0.0,150.4156931656192,1,0,10.0.0.3
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2486835,1788717554.445367,3,1,1.196683645248413,3,3,180,180,2.5069282194269866,2.5069282194269866,150.4156931656192,150.4156931656192,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2486835,1788717554.445367,3,2,1.196683645248413,2,2,120,120,1.671285479617991,1.671285479617991,100.27712877707947,100.27712877707947,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717553.2486835,1788717554.445367,3,3,1.196683645248413,2,2,120,120,1.671285479617991,1.671285479617991,100.27712877707947,100.27712877707947,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.8315022,1788717554.46399,2,4294967294,1.6324877738952637,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.8315022,1788717554.46399,2,1,1.6324877738952637,2,2,120,120,1.22512402970579,1.22512402970579,73.5074417823474,73.5074417823474,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.8315022,1788717554.46399,2,4,1.6324877738952637,0,2,0,120,0.0,1.22512402970579,0.0,73.5074417823474,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.8315022,1788717554.46399,2,2,1.6324877738952637,2,2,120,120,1.22512402970579,1.22512402970579,73.5074417823474,73.5074417823474,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.8315022,1788717554.46399,2,3,1.6324877738952637,2,2,120,120,1.22512402970579,1.22512402970579,73.5074417823474,73.5074417823474,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.4237046,1788717554.4824615,4,4294967294,2.0587568283081055,0,0,0,0,0.0,0.0,0.0,0.0,,,
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.4237046,1788717554.4824615,4,4,2.0587568283081055,0,2,0,120,0.0,0.9714600444791762,0.0,58.28760266875057,1,0,10.0.0.4
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.4237046,1788717554.4824615,4,1,2.0587568283081055,2,2,120,120,0.9714600444791762,0.9714600444791762,58.28760266875057,58.28760266875057,1,0,10.0.0.1
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.4237046,1788717554.4824615,4,2,2.0587568283081055,2,2,120,120,0.9714600444791762,0.9714600444791762,58.28760266875057,58.28760266875057,1,0,10.0.0.2
sdn_window_v1,BENIGN_R01,BENIGN,none,phase=ACTIVE; Phase2H_pilot_multirun,1788717552.4237046,1788717554.4824615,4,3,2.0587568283081055,2,2,120,120,0.9714600444791762,0.9714600444791762,58.28760266875057,58.28760266875057,1,0,10.0.0.3
